id,corner_index,outline,point,type,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,license_id
499,NULL,1,3,I,26.34245833,68.82577778,2913388.875,482617.4689,2913646.313,482604.113,1101969887
500,NULL,1,4,I,26.32665278,68.701,2911661.386,470164.0112,2911918.812,470150.5689,1101969887
501,NULL,1,5,I,26,68.67694444,2875494.541,467673.6595,2875751.714,467660.1991,1101969887
502,NULL,1,6,I,25.88333333,68.66475,2862578.653,466420.3537,2862835.735,466406.8842,1101969887
503,NULL,1,7,I,25.88333333,68.51,2862627.384,450919.9308,2862884.467,450906.3533,1101969887
504,NULL,1,8,I,25.95,68.51,2870009.712,450947.5253,2870266.847,450933.9482,1101969887
505,NULL,1,9,I,25.95,68.38333333,2870063.301,438267.0207,2870320.437,438253.3553,1101969887
506,NULL,1,10,I,26.53333333,68.38333333,2934662.383,438574.4513,2934919.97,438560.7905,1101969887
507,NULL,1,1,I,27.88333333,70.0175,3084446.241,600139.9476,3084704.867,600127.3997,1102307021
508,NULL,1,2,I,27.88333333,70.05,3084473.235,603338.7206,3084731.861,603326.1947,1102307021
509,NULL,1,3,I,27.86666667,70.05,3082627.012,603354.5412,3082885.625,603342.0154,1102307021
510,NULL,1,4,I,27.86666667,70.05833333,3082634.067,604174.868,3082892.681,604162.3479,1102307021
511,NULL,1,5,I,27.85,70.05833333,3080787.846,604190.8054,3081046.447,604178.2854,1102307021
512,NULL,1,6,I,27.85,70.05416667,3080784.312,603780.5791,3081042.913,603768.0563,1102307021
513,NULL,1,7,I,27.83333333,70.05416667,3078938.096,603796.4449,3079196.685,603783.9223,1102307021
514,NULL,1,8,I,27.83333333,70.05,3078934.578,603386.1561,3079193.167,603373.6307,1102307021
515,NULL,1,9,I,27.81666667,70.05,3077088.368,603401.9505,3077346.944,603389.4252,1102307021
516,NULL,1,10,I,27.81666667,70.025,3077067.561,600939.8482,3077326.137,600927.306,1102307021
517,NULL,1,11,I,27.83333333,70.025,3078913.763,600924.43,3079172.351,600911.8877,1102307021
518,NULL,1,12,I,27.83333333,70.0175,3078907.617,600185.9143,3079166.205,600173.3669,1102307021
519,NULL,1,13,I,27.88333333,70.0175,3084446.241,600139.9476,3084704.867,600127.3997,1102307021
520,NULL,1,1,I,31.3875,47.71861111,3475743.827,758524.3934,3475743.827,758524.3934,2136970650
521,NULL,1,2,I,31.38333333,47.89888889,3475719.979,775686.4974,3475719.979,775686.4974,2136970650
522,NULL,1,3,I,30.99472222,47.88722222,3432596.091,775702.1114,3432596.091,775702.1114,2136970650
523,NULL,1,4,I,30.99861111,47.70722222,3432594.674,758497.0807,3432594.674,758497.0807,2136970650
524,NULL,1,5,I,31.3875,47.71861111,3475743.827,758524.3934,3475743.827,758524.3934,2136970650
525,NULL,1,1,I,22.41666667,72.54805556,2481007.649,247599.22,2481007.649,247599.22,2136970651
526,NULL,1,2,I,22.2975,72.54805556,2467808.346,247384.2276,2467808.346,247384.2276,2136970651
527,NULL,1,3,I,22.2975,72.595,2467730.487,252222.8162,2467730.487,252222.8162,2136970651
528,NULL,1,4,I,22.31555556,72.595,2469730.321,252254.6969,2469730.321,252254.6969,2136970651
529,NULL,1,5,I,22.31555556,72.68055556,2469592.217,261071.5112,2469592.217,261071.5112,2136970651
530,NULL,1,6,I,22.41666667,72.68055556,2480790.864,261244.1145,2480790.864,261244.1145,2136970651
531,NULL,1,7,I,22.41666667,72.54805556,2481007.649,247599.22,2481007.649,247599.22,2136970651
532,NULL,1,1,I,17.84088361,55.66936917,1973083.354,358999.7717,1973083.354,358999.7717,2136970653
533,NULL,1,2,I,17.91722889,55.66937,1981531.655,359060.1068,1981531.655,359060.1068,2136970653
534,NULL,1,3,I,17.91723056,55.50269528,1981665.923,341402.8783,1981665.923,341402.8783,2136970653
535,NULL,1,4,I,18.50052556,56.12820778,2045785.362,407970.812,2045785.362,407970.812,2136970653
536,NULL,1,5,I,18.50051917,56.68392667,2045591.681,466635.1813,2045591.681,466635.1813,2136970653
537,NULL,1,1,I,21.26666667,72.63083333,2353505.083,254163.331,2353505.083,254163.331,2136970657
538,NULL,1,2,I,21.24833333,72.63083333,2351474.733,254132.8748,2351474.733,254132.8748,2136970657
539,NULL,1,3,I,21.24833333,72.65916667,2351430.89,257074.4706,2351430.89,257074.4706,2136970657
540,NULL,1,4,I,21.26666667,72.65916667,2353461.209,257104.5617,2353461.209,257104.5617,2136970657
541,NULL,1,5,I,21.26666667,72.63083333,2353505.083,254163.331,2353505.083,254163.331,2136970657
542,NULL,1,1,E,23.48666667,72.40944444,2599565.251,235452.1677,2599838.312,235366.8752,2136970661
543,NULL,2,1,E,23.46,72.40944444,2596611.276,235398.931,2596884.328,235313.6372,2136970661
544,NULL,3,1,E,23.46,72.43833333,2596558.399,238351.0213,2596831.449,238265.7365,2136970661
545,NULL,4,1,E,23.48666667,72.43833333,2599512.328,238403.6628,2599785.387,238318.3793,2136970661
546,NULL,5,1,E,23.48666667,72.40944444,2599565.251,235452.1677,2599838.312,235366.8752,2136970661
547,NULL,1,1,E,22.56,72.52833333,2496711.835,245865.6289,2496984.564,245780.3279,2136970662
548,NULL,1,2,E,22.53,72.52833333,2493389.136,245810.6377,2493661.855,245725.335,2136970662
549,NULL,1,3,E,22.53,72.54666667,2493358.054,247696.8838,2493630.772,247611.5873,2136970662
550,NULL,1,4,E,22.56,72.54666667,2496680.72,247751.4662,2496953.449,247666.1712,2136970662
551,NULL,1,5,E,22.56,72.52833333,2496711.835,245865.6289,2496984.564,245780.3279,2136970662
552,NULL,1,1,E,22.355,72.76,2473633.512,269355.2221,2473906.156,269269.9883,2136970663
553,NULL,1,2,E,22.32833333,72.76,2470680.413,269311.3125,2470953.048,269226.0774,2136970663
554,NULL,1,3,E,22.32833333,72.80333333,2470614.714,273775.6218,2470887.346,273690.4014,2136970663
555,NULL,1,4,E,22.355,72.80333333,2473567.75,273818.6802,2473840.393,273733.461,2136970663
