id,country,area,well_name,field,block,state,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,well_type,location,total_depth,result,rt_elevation,water_depth,ss_wellhead,platform,slot,spheroid,epsg_code,drilling_contractor_id,license_id,operator_id,region_id,rig_id,onhire_date,release_date,spud_date,total_days
1542007999,Bangladesh,Bangladesh,"Muladi 2",NULL,"Block 6",Onshore,22.9222222222222,90.4747222222222,2536924.608,241034.888,2537133.83863974,240998.823547398,Exploration,Land,4569,Gas,3.8,-2.4,0,NULL,NULL,NULL,NULL,52,NULL,67,-61727124,NULL,NULL,"1981-01-25 12:00:00.000000","1979-02-22 12:00:00.000000",NULL
1693694688,India,"KG Basin",D6-F1,NULL,KG-DWN-98/3,"Bay of Bengal",16.5210444444444,82.7840194444444,1827414.94,690398.507,1827414.94,690398.507,Exploration,Offshore,3630,Gas,14,1756.6,1,NULL,NULL,NULL,NULL,75,1037105339,72,-46540566,24,NULL,NULL,"2002-09-15 12:00:00.000000",NULL
2071893388,Italy,Italy,"Gorgoglione 1",NULL,"Gorgoglione ",Potenza,40.4097777777778,16.0815277777778,NULL,NULL,NULL,NULL,Exploration,Land,5365,NULL,9.4,-1000,0,NULL,NULL,NULL,NULL,58,NULL,45,-2040741898,93,NULL,NULL,NULL,147
2129358008,Pakistan,Pakistan,"Dhodak 6",Dhodak,"Safed Koh",Punjab,30.9145638888889,70.3732388888889,3420941.521,631220.418,3420941.521,631220.418,Development,Land,2530,NULL,8,-683,0,NULL,NULL,"Everest 1830",NULL,43,NULL,59,153800183,34,NULL,NULL,"1988-11-23 12:00:00.000000",130
2129358009,Sudan,Khartoum,"Hurriya 1",NULL,"Block 11",NULL,13.551010000000002,31.862966111111113,1498223.496,376966.413,1498357.218504008,376968.9453452319,Exploration,Land,2633.472,"Dry Hole P&A",NULL,-427.9392,0,NULL,NULL,NULL,NULL,48,NULL,98,1909380745,135,NULL,NULL,"1985-09-25 12:00:00.000000",55
2129358010,Sudan,Khartoum,"Sudan 6",NULL,"Block 9",NULL,15.082061111111111,32.98703611111111,1667254.732,498606.788,1667402.3902468903,498606.8180543461,Exploration,Land,3680.1552,"Dry Hole P&A",NULL,-393.8016,0,NULL,NULL,NULL,NULL,48,1095325384,98,1909380745,136,NULL,NULL,"1989-10-22 12:00:00.000000",59
2129358011,India,Rajasthan,"Lang 2",NULL,,Rajasthan,27.145833333333332,69.77777777777777,0,0,3002826.469,577068.966,NULL,Land,NULL,"Dry Hole P&A",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,63,153800183,NULL,NULL,NULL,NULL,NULL
2129358012,India,Rajasthan,"Saatchi 1",NULL,RJ-ON/6,Rajasthan,27.119616666666666,69.84375,2999964.702,583625.837,2999964.702,583625.837,Exploration,Land,4500,Drilling,7.5,-81.9,0,NULL,NULL,NULL,NULL,80,NULL,99,153800183,137,NULL,NULL,"2004-10-28 12:15:00.000000",NULL
2129358014,Pakistan,Pakistan,"Hakeem Daho 1",NULL,Sinjhoro,Sindh,26.101834166666666,68.73906861111111,2886987.547,473909.095,2886987.547,473909.095,Exploration,Land,3210,"Gas & Condensate",8,-24.8,0,NULL,NULL,NULL,NULL,43,2136970649,59,153800183,141,NULL,"2002-12-29 12:00:00.000000","2002-09-26 12:00:00.000000",52
2129358015,Pakistan,Pakistan,"Jakhro 1",NULL,NULL,Sindh,26.00896722222222,68.66941472222223,2876718.753,466918.195,2876718.753,466918.195,Exploration,Land,3003,"Gas & Condensate",NULL,-24.4,0,NULL,NULL,NULL,NULL,43,2136970649,59,153800183,131,NULL,"1998-04-13 12:00:00.000000","1998-01-08 12:00:00.000000",62
2129358021,Iran,NULL,"Azadegan 5",NULL,NULL,NULL,31.366666666666667,47.766666666666666,0,0,3473547.651,763153.954,NULL,NULL,NULL,Oil,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2136970650,102,1909380746,NULL,NULL,NULL,NULL,NULL
2129358022,Iran,NULL,"Azadegan 1",NULL,NULL,NULL,31.305342222222222,47.792069166666664,3467886.686,194657.717,3467886.686,194657.717,NULL,NULL,NULL,"Oil & Gas",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2136970650,102,1909380746,NULL,NULL,NULL,NULL,NULL
2129358027,Iran,NULL,"Azadegan 2",NULL,NULL,NULL,0,0,0,-5106529.495,0,-5106529.495,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2136970650,102,1909380746,NULL,NULL,NULL,NULL,NULL
2129358028,Pakistan,Pakistan,"Hakeem Daho 2",NULL,NULL,Sindh,26.128923333333333,68.72883777777778,2889747.831,472896.151,2889989.6597071677,472892.3443858316,Appraisal,Land,3307,"Gas & Condensate",9,-25.27,0,NULL,NULL,NULL,NULL,87,2136970649,59,153800183,147,NULL,NULL,"2004-08-04 06:00:00.000000",NULL
2129358029,Pakistan,Pakistan,"Chak-63 03",Chak,NULL,Sindh,26.136618055555555,68.80769444444444,2890585.872,480779.501,2890827.7787332633,480776.8015593751,Development,Land,3465,"Gas & Condensate",6.2,-23.58,0,NULL,NULL,NULL,NULL,43,2136970649,59,153800183,131,NULL,NULL,"2003-03-20 12:00:00.000000",NULL
2129358030,Pakistan,Pakistan,"Chachar 2",Chachar,NULL,NULL,28.301398333333335,69.35468777777777,0,0,3130641.576,534776.407,Development,Land,1466,Drilling,9,-70,0,NULL,NULL,NULL,NULL,87,918759341,94,153800183,149,NULL,NULL,NULL,NULL
2129358032,Pakistan,Pakistan,"Chachar 3",NULL,NULL,NULL,28.303202777777777,69.35259444444443,3130588.195,534565.825,3130840.8739588847,534570.5748016824,Development,Land,1510,Drilling,9,-70,0,NULL,NULL,NULL,NULL,87,918759341,94,153800183,149,NULL,NULL,NULL,NULL
2129358033,India,"Cambay Field",CBY-01,Cambay,NULL,Gujarat,22.353986111111112,72.56465555555555,0,0,2474037.159,249196.294,Exploration,Land,NULL,"Oil Suspended",3.3,-10.1,0,NULL,NULL,NULL,NULL,NULL,2136970651,103,-46540572,NULL,NULL,NULL,NULL,NULL
2129358034,India,"Cambay Field",CBY-03,NULL,NULL,Gujarat,22.34624722222222,72.579825,2473154.787,250745.408,2473154.787,250745.408,Appraisal,Land,2079,"Gas Show P&A",3.53,-8.2,0,NULL,NULL,NULL,NULL,NULL,2136970651,103,-46540572,NULL,NULL,NULL,"1959-11-28 12:00:00.000000",NULL
2129358035,India,"Cambay Field",CBY-04,NULL,NULL,Gujarat,22.36247777777778,72.59077222222221,2474934.413,251902.11,2474934.413,251902.11,Appraisal,Land,2103,"Oil Show P&A",5.08,-9.57,0,NULL,NULL,NULL,NULL,NULL,2136970651,103,-46540572,NULL,NULL,NULL,"1959-12-20 12:00:00.000000",NULL
2129358036,India,"Cambay Field",CBY-07,NULL,NULL,Gujarat,22.352080555555556,72.55942777777778,2473834.817,248654.258,2473834.817,248654.258,Development,Land,2239,"Oil & Gas Show P&A",3.53,-8.56,0,NULL,NULL,NULL,NULL,NULL,2136970651,103,-46540572,NULL,NULL,NULL,"1960-05-18 12:00:00.000000",NULL
2129358037,India,"Cambay Field",CBY-05,NULL,NULL,Gujarat,22.38887777777778,72.59403333333333,2477853.126,252284.846,2477853.126,252284.846,Development,Land,1878,"Gas with Oil Show",4.02,-11.14,0,NULL,NULL,NULL,NULL,NULL,2136970651,103,-46540572,NULL,NULL,NULL,"1960-02-07 12:00:00.000000",NULL
